id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
11,171.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.527742687,0.481279313,39.06314597,6941.82413
12,431.0,25.0,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.386518419,0.388525442,29.31600198,3901.98955
13,220.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.632108665,0.519455977,44.68715255,8007.20621
14,267.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.576589776,0.481349777,39.77346165,7369.68559
15,277.0,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.545094508,0.47767525,38.69800786,7007.66825
16,161.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.586602539,0.491813116,41.78212739,7425.75194
17,171.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.635017998,0.521691969,44.59947057,7136.98445
18,732.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.615611893,0.50404651,42.11266981,7825.87492
19,80.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.506346175,0.451012573,36.80735327,6263.80788
20,318.0,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.583378727,0.491124144,40.87322424,7303.58812
21,712.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.583378727,0.482227496,40.2744187,7117.95038
22,555.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.46751899,0.433668483,34.66057255,5628.71053
23,744.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.610321439,0.504056677,41.61500537,7963.93931
24,727.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.506346175,0.458966196,36.2542016,6731.71221
25,409.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.576602444,0.482874674,40.2744187,7529.17505
26,177.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.523845567,0.471871207,37.90930402,6826.20873
27,486.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.582954458,0.482227496,40.81318096,7290.10652
28,576.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.488047919,0.433844688,34.89511705,5773.62581
29,225.0,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.543972464,0.438612787,37.52274536,6638.65649
30,536.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.402838656,0.402838656,31.90931611,4673.38052
31,166.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.574796304,0.481173502,37.70659201,6030.98074
32,669.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.509001253,0.454080207,36.62496616,6187.95188
33,534.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.372318474,0.390310494,30.59699446,3723.52338
34,738.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.527591617,0.462795445,37.52543015,6677.62443
35,481.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.58492102,0.482859526,40.81318096,7706.88137
36,285.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.567975637,0.463561831,37.74750888,6461.67087
37,710.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.468921469,0.41015323,34.8599528,5200.57849
38,773.0,25.0,0.5,0.38,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.483872542,0.440675594,35.48354994,5772.91016
39,585.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.58492102,0.497978979,40.26540842,7019.69438
40,742.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.545094508,0.444146829,36.34050331,6922.84679
41,466.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.483872542,0.427430828,34.70788043,5569.13925
42,598.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.458581988,0.408444733,32.78937613,5914.16491
43,498.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.49739138,0.430077888,35.77113923,5914.16491
44,292.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.595712725,0.493257523,41.35738644,7517.44077
45,676.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.558537787,0.473660277,38.3054111,6583.45789
46,524.0,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.576589776,0.482874674,40.82737534,7101.75783
47,410.0,12.5,0.75,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.561296524,0.470176914,39.09688443,6929.5548
48,544.0,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.450102564,0.411220309,33.23244939,5225.16307
49,585.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.52661476,0.463058596,37.71251297,6515.30587
50,493.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.476202171,0.412661872,33.22890035,5535.05665
51,400.0,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.530916639,0.463806532,37.07093657,6779.98166
52,726.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.527724447,0.460322355,37.96686445,6370.89887
53,743.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.490320807,0.459224426,36.21076317,5932.23909
54,378.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.52698696,0.432754792,35.40935334,6306.55062
55,544.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.39936701,0.398255665,31.67018669,4340.82151
56,645.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.496636394,0.447536765,35.11807556,5504.75083
57,415.0,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.635315515,0.524860365,44.72163541,8284.85461
58,745.0,25.0,0.5,0.38,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.599953146,0.493757519,41.40492886,7907.24067
59,113.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.620391949,0.524904141,43.2784975,8254.12654
60,526.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.492076861,0.444703745,35.46687387,5750.88107
61,107.0,12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.567958657,0.466492143,37.77937909,6578.23522
62,376.0,12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.476202171,0.419215723,35.98855463,5767.17836
63,594.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.506793789,0.459464772,36.39193423,6376.66256
64,723.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.463537294,0.434863988,34.46756739,5246.52146
65,428.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.633144179,0.503663416,43.48665585,8064.73881
66,352.0,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.485336051,0.446570029,35.50118221,5601.20531
67,30.0,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.288159094,0.352855862,26.28235597,2625.26916
68,685.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.512802719,0.451546571,36.3623002,6237.20605
69,476.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.509158377,0.42726083,37.80745277,6263.80788
70,625.0,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.523276949,0.456066643,37.78228845,6327.00807
71,220.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.600435148,0.500653697,41.0271829,7570.48492
72,293.0,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.573428227,0.476836137,39.23966787,7028.6735
73,444.0,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.566319234,0.460795368,37.29886067,6575.59267
74,443.0,12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.545094508,0.463821541,37.21402074,7576.39253
75,444.0,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.595065655,0.498475898,40.22351864,7293.53617
76,734.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.48180056,0.449545727,35.50564628,5360.87391
77,341.0,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.595052932,0.497740882,41.71941614,7340.46077
78,456.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.340063353,0.397617195,30.5255093,3436.49354
79,599.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.498058212,0.449871489,35.57209886,6020.87569
80,83.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.520592483,0.460895865,37.55181473,6320.23893
81,715.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.38581266,0.400980125,29.73999168,4112.89349
82,437.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.524635459,0.460305334,37.30376378,6320.23893
83,564.0,25.0,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.502842336,0.43226586,35.11807556,6368.84982
84,268.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.51884433,0.45826996,35.93380223,6033.77856
85,533.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.262139643,0.352186419,35.14089874,2688.02883
86,576.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.51425307,0.452074913,36.01862394,6574.18247
87,402.0,12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.548367299,0.443754909,39.15823782,6677.62443
88,149.0,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.565239387,0.478760617,39.82088488,7301.10622
89,394.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.621749749,0.514790079,43.54582537,8174.46338
90,238.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.564794821,0.472468254,39.85898134,6521.29112
91,466.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.488485703,0.438630573,34.60429153,5920.48718
92,30.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.47771355,0.437693166,35.92331365,5837.21503
93,707.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.520587192,0.46326367,37.7247238,6198.06496
94,434.0,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.323727288,0.377566465,28.46200492,3471.19214
95,715.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.567975637,0.468896154,38.52587501,6370.89887
96,552.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.506346175,0.454917386,36.43071573,6595.45629
97,381.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.425493214,0.439565369,32.41787171,4768.59437
98,703.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.509158377,0.398255665,31.79835142,6482.70572
99,692.0,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.371183688,0.394461774,29.07835591,3813.16579
100,457.0,25.0,0.5,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.496176505,0.445484498,35.47352652,5729.71505
101,226.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.633144179,0.5251356,43.07173864,8562.37077
102,626.0,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.326880783,0.373856466,28.44274436,3322.9462
103,441.0,12.5,0.25,0.38,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566319234,0.447536765,39.15823782,7998.35059
104,661.0,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.464368945,0.433195442,34.02922281,5747.56017
105,149.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.583378727,0.480106144,40.65549833,7234.25525
106,320.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.520587192,0.460305334,37.70659201,5192.88315
107,611.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.545094508,0.473993739,35.11807556,6528.79888
108,234.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.47771355,0.43226586,34.79781929,5330.36931
109,368.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.515012624,0.444139023,35.50605382,6598.85404
110,552.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.564904359,0.488568502,40.81318096,6543.97182
111,399.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.573204799,0.485989695,39.4849869,6801.32393
112,454.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.564794821,0.480779062,39.46947609,6795.88187
113,536.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.511750776,0.41951938,36.01862394,5834.98164
114,27.0,25.0,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.401537849,0.398863863,30.79374092,4177.0152
115,209.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.553671368,0.455135389,38.70569591,6922.84679
116,730.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.520180895,0.460795368,37.3001964,6500.09778
117,161.0,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.509933842,0.430358895,36.57388769,6757.07366
118,133.0,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.506793789,0.459464772,36.92483932,6752.17704
119,588.0,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.433014308,0.422440021,34.30007912,4503.16186
120,30.0,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.33592747,0.378528127,27.62154773,3182.69865
121,365.0,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.540082008,0.476002331,38.6454264,6992.82314
122,757.0,25.0,0.5,0.38,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.61854944,0.502786993,43.65957738,8104.93497
123,267.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.532482559,0.465680233,37.71251297,6731.71221
124,479.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.474162324,0.431201835,34.09291711,5862.80545
125,193.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509158377,0.455453173,36.63337572,6188.47714
126,774.0,20.0,0.537,0.117,0.409,0.058,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.408487848,0.395435754,30.05252128,4572.12637
127,365.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.546174929,0.45807618,37.90930402,6901.65894
128,472.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.391964935,0.382602075,31.66559817,3941.25512
129,575.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.48638367,0.426746554,32.41787171,5296.61109
130,8.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.482854142,0.436042539,35.92331365,5538.91301
131,110.0,12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.502106031,0.450498441,36.21076317,6034.64214
132,522.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.53513718,0.471249919,38.94515185,6830.96605
133,463.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.371183688,0.392787396,30.59741611,3998.05416
134,102.0,12.5,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.582604099,0.487056813,40.22738685,7415.89441
135,617.0,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.490320807,0.441974474,35.17991165,5741.31418
136,719.0,25.0,0.5,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.521523421,0.430253104,37.90850822,6663.00068
137,448.0,12.5,0.25,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.592156153,0.488568502,40.22738685,7451.72563
138,427.0,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.612633396,0.502062222,43.29398449,8621.81568
139,534.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.480072982,0.411546877,33.23980604,5529.06614
140,496.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.483671436,0.411546877,33.85831713,5735.13303
141,728.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.448841436,0.426679269,33.55926075,5834.98164
142,396.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.532227877,0.460795368,37.25124178,6836.39728
143,668.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.509158377,0.452630705,36.3854328,6019.26248
144,575.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.421448998,0.414830175,32.40278346,4387.74185
145,730.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.427977027,0.417908804,32.46088718,4737.63925
146,447.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.527189908,0.466492143,37.72398079,6569.24967
147,615.0,25.0,0.5,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.545094508,0.463020067,37.7247238,6746.4546
148,426.0,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.574796304,0.488638858,39.91734321,7588.36096
149,71.0,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.520592483,0.40166998,45.20294287,8175.45619
150,437.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.465538066,0.428118259,34.66515546,5552.72387
151,151.0,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.489635345,0.44252903,35.6972028,5527.42503
152,595.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.387861179,0.388632634,29.13659362,4163.82304
153,411.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.596551315,0.498475898,41.17620131,7270.31832
154,383.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.603524723,0.500647106,42.79905453,7935.09476
155,472.0,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.573428227,0.48648622,39.98873363,7713.4796
156,585.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.502842336,0.459464772,36.31013579,6107.38247
157,518.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.340822336,0.399935482,27.8743632,3322.9462
158,710.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.436893878,0.42726083,29.31600198,4433.53697
159,68.0,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.392583006,0.391582692,31.57410804,3943.13168
160,127.0,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.501777434,0.448463132,36.04067528,5715.0084
161,476.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.493693466,0.449545727,35.09473308,5004.15434
162,577.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.530709113,0.460305334,37.02918026,6299.22636
163,694.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.496270554,0.439104197,34.76957798,5042.64034
164,548.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.525063322,0.466492143,37.78228845,6374.4443
165,689.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.596551315,0.498055536,40.86547798,7548.34706
166,524.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.488014406,0.44959908,35.92331365,5729.56964
